experiment,removed_type,removed_name,kept_features,feature_count,threshold_source,n_seeds,acc_mean,prec_mean,rec_mean,f1_mean,auc_mean,delta_f1_mean,delta_auc_mean,threshold_mean,acc_std,prec_std,rec_std,f1_std,auc_std,delta_f1_std,delta_auc_std,threshold_std
drop_feature_sqlfunc,feature,sqlfunc,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw",11,artifact,5,0.9995689655172415,0.9997234173194552,0.9990787655458314,0.9994009535062214,0.9999962778405893,0.0001843954917054358,-4.2423073284370004e-05,0.18,0.0003632112450299576,0.0004123447169002427,0.0006514111296052939,0.0005048061539222962,6.835795226122841e-06,0.0002523728230375039,5.3361082554387764e-05,0.0
drop_feature_puncts,feature,puncts,"qlen,wcount,sq,dq,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9995689655172413,0.9996315061401498,0.9991708889912483,0.9994010596049945,0.9999945599208612,0.00018428939293235747,-4.070515355636406e-05,0.18,0.0002774071706014508,0.0005045810875685596,0.0005045808912990947,0.00038546888150193826,5.949230616323518e-06,0.0002523487444793631,4.395426438236107e-05,0.0
drop_feature_arith,feature,arith,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,alpha,sqlkw,sqlfunc",11,artifact,5,0.9996684350132625,0.9998156257104188,0.999263012436665,0.9995392342013828,0.9998717763802978,4.611479654395012e-05,8.207838700704517e-05,0.18,0.00023445185052605686,0.0002524649047436826,0.00041198857254714605,0.0003258556647206176,0.00010789053922806088,0.0002522904300341206,0.00010870509930469864,0.0
drop_feature_qlen,feature,qlen,"wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9996684350132625,0.999723544757348,0.999355135882082,0.9995392978860735,0.9999877121019451,4.605111185318478e-05,-3.385733464031926e-05,0.18,0.00028714370152001315,0.00041215470722039734,0.00041198857254717136,0.00039899811559972615,1.0366749633548983e-05,0.00010297341654316748,3.9203741833936447e-05,0.0
drop_feature_comments,feature,comments,"qlen,wcount,sq,dq,puncts,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999557397070064,0.0,-1.8849397015241464e-06,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,4.6340557021140123e-05,0.0,4.924936728427291e-06,0.0
drop_feature_dq,feature,dq,"qlen,wcount,sq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999525424675125,0.0,1.312299792322058e-06,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,4.845058503436972e-05,0.0,2.291677801833192e-06,0.0
drop_feature_spaces,feature,spaces,"qlen,wcount,sq,dq,puncts,comments,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.999941041949333,0.0,1.2812817971807889e-05,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,6.22802120711862e-05,0.0,1.6679101630816783e-05,0.0
drop_feature_sqlkw,feature,sqlkw,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlfunc",11,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999906230214843,0.0,-3.676825417953111e-05,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,1.1038504339801341e-05,0.0,4.089557414208433e-05,0.0
drop_feature_wcount,feature,wcount,"qlen,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9997015915119363,0.999815668202765,0.999355135882082,0.9995853489979268,0.9999545705671915,0.0,-7.157998866302861e-07,0.18,0.000296560739721437,0.0004121784290322161,0.00041198857254717136,0.0004120834789218729,4.691526932310941e-05,0.0,3.1877883622302262e-06,0.0
drop_feature_logic,feature,logic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.99973474801061,0.999723714491968,0.9995393827729157,0.9996315062036734,0.9999986877002078,-4.615720574654425e-05,-4.483293290293844e-05,0.18,0.00014828036986071593,0.0004118226113300334,0.0,0.00020590534150883907,1.5849396486360825e-06,0.00025245025758826814,4.8920440664391715e-05,0.0
drop_feature_alpha,feature,alpha,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,sqlkw,sqlfunc",11,artifact,5,0.9997679045092838,1.0,0.999355135882082,0.9996774299559043,0.9999651405455182,-9.208095797748061e-05,-1.1285778213410147e-05,0.18,0.0001482803698607185,0.0,0.00041198857254717136,0.0002061841974509258,5.3791024006468424e-05,0.00020589928147094822,3.10750231180178e-05,0.0
drop_feature_sq,feature,sq,"qlen,wcount,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",11,artifact,5,0.9997679045092838,1.0,0.999355135882082,0.9996774299559043,0.9998089291502466,-9.208095797748061e-05,0.00014492561705836682,0.18,0.0001482803698607185,0.0,0.00041198857254717136,0.0002061841974509258,5.657439825203487e-05,0.00020589928147094822,6.82040923922325e-05,0.0
